loss,model_A,model_B,T,dm_stat,p_value,mean_diff_A_minus_B,better_model
QLIKE,egarch,xgb,1231,51.66049298579168,0.0,991242.0713043972,xgb
QLIKE,egarch,lstm,1231,51.66049275507921,0.0,991242.072247659,lstm
QLIKE,egarch,vanilla_t,1231,-36.74854296743684,0.0,-856066.3042302906,egarch
QLIKE,egarch,dense_t,1231,-40.221908658075854,0.0,-4441173.340896278,egarch
QLIKE,egarch,random_t,1231,51.659427883730395,0.0,991215.9026576525,random_t
QLIKE,xgb,vanilla_t,1231,-53.05012010578168,0.0,-1847308.3755346874,xgb
QLIKE,xgb,dense_t,1231,-44.14974828552819,0.0,-5432415.412200675,xgb
QLIKE,xgb,random_t,1231,-155.1941309473809,0.0,-26.16864674472043,xgb
QLIKE,lstm,vanilla_t,1231,-53.05011997414354,0.0,-1847308.3764779496,lstm
QLIKE,lstm,dense_t,1231,-44.149748256792215,0.0,-5432415.413143937,lstm
QLIKE,lstm,random_t,1231,-155.0352686297001,0.0,-26.169590006570314,lstm
QLIKE,vanilla_t,dense_t,1231,-35.19684447021245,0.0,-3585107.0366659868,vanilla_t
QLIKE,vanilla_t,random_t,1231,53.04955015849012,0.0,1847282.2068879432,random_t
QLIKE,dense_t,random_t,1231,44.149575426380956,0.0,5432389.24355393,random_t
QLIKE,xgb,lstm,1231,3.3848608991583777,0.0007121433315540049,0.0009432618498807481,lstm
SE,egarch,xgb,1231,173.7798523943917,0.0,30.444340232724592,xgb
SE,egarch,lstm,1231,171.082705470692,0.0,30.45679464479009,lstm
SE,egarch,vanilla_t,1231,35.271195352974885,0.0,0.019342007993962376,vanilla_t
SE,egarch,dense_t,1231,70.86526151562866,0.0,0.03709852999500614,dense_t
SE,egarch,random_t,1231,-366.2823960775445,0.0,-11.931077910525818,egarch
SE,xgb,vanilla_t,1231,-173.62721499244284,0.0,-30.424998224730633,xgb
SE,xgb,dense_t,1231,-173.58929050083577,0.0,-30.407241702729593,xgb
SE,xgb,random_t,1231,-204.0069624223782,0.0,-42.375418143250414,xgb
SE,lstm,vanilla_t,1231,-170.93419103421675,0.0,-30.437452636796124,lstm
SE,lstm,dense_t,1231,-170.89565337555163,0.0,-30.41969611479508,lstm
SE,lstm,random_t,1231,-201.33575355871182,0.0,-42.38787255531591,lstm
SE,vanilla_t,dense_t,1231,39.07457870205491,0.0,0.017756522001043763,dense_t
SE,vanilla_t,random_t,1231,-367.4064685080815,0.0,-11.950419918519781,vanilla_t
SE,dense_t,random_t,1231,-367.19901345351803,0.0,-11.968176440520825,dense_t
SE,xgb,lstm,1231,2.8504599896146376,0.00436560425013921,0.012454412065492679,lstm
